date,dad,trt,water_trt,plant,diameter_mm,leaf_count,stage,fruit_count
3/14/2025,1,HP,d,6,17,6,v,0
3/14/2025,1,HP,w,7,24,9,v,0
3/14/2025,1,HP,w,8,24,6,v,0
3/14/2025,1,HP,w,9,26,6,v,0
3/14/2025,1,HP,w,10,12,5,v,0
3/14/2025,1,HP,w,11,17,8,v,0
3/14/2025,1,HP,d,12,21,7,v,0
3/14/2025,1,HP,w,13,21,7,v,0
3/14/2025,1,HP,w,14,18,5,v,0
3/14/2025,1,HP,w,15,15,7,v,0
3/14/2025,1,HP,w,16,23,8,v,0
3/14/2025,1,HP,w,17,20,6,v,0
3/14/2025,1,HP,d,18,17,5,v,0
3/14/2025,1,HP,w,19,17,6,v,0
3/14/2025,1,HP,w,20,20,8,v,0
3/14/2025,1,HP,w,21,28,7,v,0
3/14/2025,1,HP,d,22,28,10,v,0
3/14/2025,1,HP,d,23,21,8,v,0
3/14/2025,1,HP,d,24,20,6,v,0
3/14/2025,1,HP,d,25,23,7,v,0
3/14/2025,1,HP,d,26,15,6,v,0
3/14/2025,1,HP,d,27,14,7,v,0
3/14/2025,1,HP,d,28,16,6,v,0
3/14/2025,1,HP,d,29,17,6,v,0
3/14/2025,1,HP,w,30,24,8,v,0
3/14/2025,1,HP,w,31,27,7,v,0
3/14/2025,1,HP,w,32,17,5,v,0
3/14/2025,1,HP,d,33,16,6,v,0
3/14/2025,1,HP,d,34,20,8,v,0
3/14/2025,1,HP,d,35,12,6,v,0
3/14/2025,1,HP,d,36,16,5,v,0
3/14/2025,1,HP,w,37,25,6,v,0
3/14/2025,1,HP,d,38,22,8,v,0
3/14/2025,1,MV,w,1,,,v,0
3/14/2025,1,MV,w,2,14,6,v,0
3/14/2025,1,MV,d,3,12,6,v,0
3/14/2025,1,MV,d,4,24,8,v,0
3/14/2025,1,MV,d,5,27,8,v,0
3/14/2025,1,MV,d,6,17,6,v,0
3/14/2025,1,MV,d,7,15,7,v,0
3/14/2025,1,MV,w,8,,,v,0
3/14/2025,1,MV,d,9,21,8,v,0
3/14/2025,1,MV,d,10,15,6,v,0
3/14/2025,1,MV,w,11,,,v,0
3/14/2025,1,MV,d,12,22,8,v,0
3/14/2025,1,MV,w,13,28,8,v,0
3/14/2025,1,MV,d,14,18,6,v,0
3/14/2025,1,MV,d,15,15,5,v,0
3/14/2025,1,MV,d,16,20,7,v,0
3/14/2025,1,MV,w,17,36,8,v,0
3/14/2025,1,MV,w,18,14,5,v,0
3/14/2025,1,MV,d,19,20,8,v,0
3/14/2025,1,MV,d,20,17,7,v,0
3/14/2025,1,MV,w,21,16,6,v,0
3/14/2025,1,MV,d,22,18,7,v,0
3/14/2025,1,MV,d,23,10,3,v,0
3/14/2025,1,MV,d,24,20,7,v,0
3/14/2025,1,MV,d,25,11,6,v,0
3/14/2025,1,MV,w,26,29,8,v,0
3/14/2025,1,MV,d,27,33,9,v,0
3/14/2025,1,MV,w,28,18,6,v,0
3/14/2025,1,MV,d,29,26,6,v,0
3/14/2025,1,MV,w,30,27,7,v,0
3/14/2025,1,MV,w,31,24,8,v,0
3/14/2025,1,MV,w,32,15,6,v,0
3/14/2025,1,MV,w,33,16,6,v,0
3/14/2025,1,MV,w,34,27,8,v,0
3/14/2025,1,MV,w,35,16,4,v,0
3/14/2025,1,MV,w,36,23,6,v,0
3/14/2025,1,MV,w,37,26,8,v,0
3/14/2025,1,MV,w,38,29,10,v,0
3/17/2025,4,C,w,1,25,7,v,0
3/17/2025,4,C,w,2,19,6,v,0
3/17/2025,4,C,w,3,37,8,v,0
3/17/2025,4,C,w,4,22,6,v,0
