date,trt,plant,diameter_mm,leaf_count,gs,fruit,g_full,g_spec
4/21/2025,mv,21,34,18,v,0,0.2,0.025
4/21/2025,mv,22,49,56,v,0,na,na
4/21/2025,mv,23,33,26,v,0,0.4,0.029
4/21/2025,mv,24,29,22,v,0,0.3,0.022
4/21/2025,mv,25,46,38,v,0,0.7,0.034
4/21/2025,mv,26,6,4,f,1,na,na
4/21/2025,mv,27,na,na,na,0,na,na
4/21/2025,mv,28,36,32,v,0,0.2,0.024
4/21/2025,mv,29,35,38,v,0,0.5,0.019
4/21/2025,mv,30,28,18,v,0,0.4,0.014
4/21/2025,t,1,na,na,na,0,na,na
4/21/2025,t,2,25,16,v,0,na,na
4/21/2025,t,3,na,na,na,0,na,na
4/21/2025,t,4,51,48,v,0,0.6,0.024
4/21/2025,t,5,na,na,na,0,0.1,na
4/21/2025,t,6,35,22,f,4,na,0.02
4/21/2025,t,7,na,na,na,0,na,na
4/21/2025,t,8,na,na,na,0,na,na
4/21/2025,t,9,29,21,v,0,na,na
4/21/2025,t,10,35,32,v,0,0.1,0.015
4/21/2025,t,11,19,9,v,0,na,na
4/21/2025,t,12,41,36,v,0,0.4,0.032
4/21/2025,t,13,15,11,f,1,na,na
4/21/2025,t,14,na,na,na,0,na,na
4/21/2025,t,15,50,34,v,0,0.4,0.017
4/21/2025,t,16,36,30,v,0,na,na
4/21/2025,t,17,28,16,v,0,na,na
4/21/2025,t,18,36,36,v,0,0.4,0.022
4/21/2025,t,19,na,na,na,0,na,na
4/21/2025,t,20,na,na,na,0,na,na
4/21/2025,t,21,29,24,f,0,0.2,0.014
4/21/2025,t,22,14,10,v,0,na,na
4/21/2025,t,23,na,na,na,0,na,na
4/21/2025,t,24,na,na,na,0,na,na
4/21/2025,t,25,32,9,v,0,0.2,na
4/21/2025,t,26,42,22,v,0,0.4,0.033
4/21/2025,t,27,47,28,v,0,0.4,0.037
4/21/2025,t,28,26,14,f,0,na,0.045
4/21/2025,t,29,40,36,v,0,0.1,na
4/21/2025,t,30,na,na,na,0,na,na
,,,,,,,,
,,,,,,,0,
